Rank	Taxonpath	Taxon	ERR1906857	ERR1906860	ERR1906867
root	root	root	104.163265306	65.6	170.022988506
meta	Main genome	Main genome	103.163265306	63.6	169.022988506
meta	Chloroplast	Chloroplast	None	None	None
meta	No hits	No hits	None	1.0	None
domain	Main genome;Bacteria	Bacteria	96.1046511628	60.4166666667	169.022988506
domain	Main genome;Archaea	Archaea	7.08333333333	None	None
domain	Chloroplast;Bacteria (Chloroplast)	Bacteria (Chloroplast)	None	None	None
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	30.0384615385	27.0357142857	48.0
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	2.0	None	12.0
superkingdom	Main genome;Bacteria;Bacteroidetes	Bacteroidetes	35.0	10.25	50.03125
superkingdom	Main genome;Bacteria;Firmicutes	Firmicutes	2.0	None	None
superkingdom	Main genome;Bacteria;Cyanobacteria	Cyanobacteria	2.0	3.0	None
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	1.0	None	3.0
superkingdom	Main genome;Bacteria;Nitrospirae	Nitrospirae	None	1.0	2.0
superkingdom	Main genome;Bacteria;Epsilonbacteraeota	Epsilonbacteraeota	None	None	None
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	3.5	1.0	11.0833333333
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	6.16666666667	3.25	5.0
superkingdom	Main genome;Bacteria;Patescibacteria	Patescibacteria	4.0	None	12.0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	5.0	5.0	11.0
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	1.0	None	2.0
superkingdom	Main genome;Bacteria;Lentisphaerae	Lentisphaerae	1.0	None	None
superkingdom	Main genome;Bacteria;Armatimonadetes	Armatimonadetes	None	None	None
superkingdom	Main genome;Bacteria;Entotheonellaeota	Entotheonellaeota	None	1.0	1.0
superkingdom	Main genome;Archaea;Euryarchaeota	Euryarchaeota	3.25	None	None
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	1.0	None	None
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	None	None	None
superkingdom	Main genome;Archaea;Nanoarchaeaeota	Nanoarchaeaeota	1.0	None	None
superkingdom	Main genome;Archaea;Asgardaeota	Asgardaeota	1.0	None	None
superkingdom	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast)	Cyanobacteria (Chloroplast)	None	None	None
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	17.0	9.0	14.0
kingdom	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria	Alphaproteobacteria	8.25	15.125	32.0
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	5.0	3.0	2.0
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	None	None	5.0
kingdom	Main genome;Bacteria;Actinobacteria;Coriobacteriia	Coriobacteriia	None	None	1.0
kingdom	Main genome;Bacteria;Actinobacteria;Thermoleophilia	Thermoleophilia	None	None	None
kingdom	Main genome;Bacteria;Actinobacteria;Acidimicrobiia	Acidimicrobiia	2.0	None	4.0
kingdom	Main genome;Bacteria;Actinobacteria;MB-A2-108	MB-A2-108	None	None	1.0
kingdom	Main genome;Bacteria;Bacteroidetes;Bacteroidia	Bacteroidia	35.0	10.25	50.03125
kingdom	Main genome;Bacteria;Firmicutes;Clostridia	Clostridia	2.0	None	None
kingdom	Main genome;Bacteria;Cyanobacteria;Oxyphotobacteria	Oxyphotobacteria	2.0	3.0	None
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	1.0	None	3.0
kingdom	Main genome;Bacteria;Nitrospirae;Nitrospira	Nitrospira	None	None	1.0
kingdom	Main genome;Bacteria;Nitrospirae;Thermodesulfovibrionia	Thermodesulfovibrionia	None	1.0	1.0
kingdom	Main genome;Bacteria;Epsilonbacteraeota;Campylobacteria	Campylobacteria	None	None	None
kingdom	Main genome;Bacteria;Acidobacteria;Acidobacteriia	Acidobacteriia	1.0	1.0	3.0
kingdom	Main genome;Bacteria;Acidobacteria;Blastocatellia (Subgroup 4)	Blastocatellia (Subgroup 4)	None	None	6.25
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	None	None	2.0
